date,global_refinary_output,petrol_pump_price,petrol_duty_per_litre,petrol_vat,diesel_pump_price,diesel_duty_per_litre,diesel_vat,avg_stock_level,avg_road_fuel_deliveries,avg_road_fuel_sales,gbp_to_usd_xrate,brent_crude_price,brent_crude_open_price,brent_crude_high_price,brent_crude_low_price,brent_crude_volume_traded,ngas_price,ngas_open_price,ngas_high_price,ngas_low_price,brent_crude_price_range
2021-02-14,285724.4285714286,120.40714285714286,57.95,20.0,124.87857142857143,57.95,20.0,36.52579118,3762.0,3541.0,1.3842,25.09,24.52,25.09,24.4,33940,0.0138,0.0138,0.013900000000000001,0.013600000000000001,0.6900000000000013
2021-02-21,294870.4285714286,121.16428571428571,57.95,20.0,125.61,57.95,20.0,36.20154639,4155.0,3859.0,1.40165,25.38,25.32,25.65,25.1,369660,0.013866666666666668,0.013866666666666666,0.013966666666666667,0.0138,0.5499999999999972
2021-02-28,304016.4285714286,122.04142857142857,57.95,20.0,126.49000000000001,57.95,20.0,34.09036875,4304.0,4545.0,1.3925,26.5,26.53,26.72,26.26,123520,0.013133333333333334,0.013166666666666667,0.013233333333333333,0.013066666666666667,0.4599999999999973
2021-03-07,300567.32258064515,122.83,57.95,20.0,127.28857142857143,57.95,20.0,36.83471542,4686.0,4412.0,1.3802336666666668,27.94,27.5,28.14,27.47,72130,0.012733333333333333,0.013,0.013,0.012733333333333333,0.6700000000000017
2021-03-14,295019.0322580645,123.76285714285714,57.95,20.0,128.12,57.95,20.0,38.56998625,4755.0,4579.0,1.39245,28.25,28.1,28.33,27.99,38720,0.0122,0.012400000000000001,0.012400000000000001,0.0122,0.33999999999999986
2021-03-21,289470.7419354839,124.47428571428571,57.95,20.0,128.90857142857143,57.95,20.0,38.50571983,4785.0,4555.0,1.387,26.28,25.88,26.49,25.6,79590,0.012066666666666667,0.012,0.012066666666666667,0.011866666666666668,0.889999999999997
2021-03-28,283922.4516129032,125.05,57.95,20.0,129.27714285714285,57.95,20.0,39.94386573,4752.0,4445.0,1.3791,26.47,26.02,26.49,25.9,20700,0.0122,0.0124,0.0124,0.012233333333333334,0.5899999999999999
2021-04-04,281666.4,125.22428571428571,57.95,20.0,129.34571428571428,57.95,20.0,38.36885003,5380.0,4286.0,1.3875826666666666,25.99,26.12,26.42,25.73,129420,0.01216,0.012060000000000001,0.01222,0.012,0.6900000000000013
2021-04-11,283800.0,125.37714285714286,57.95,20.0,129.3842857142857,57.95,20.0,40.00651467,5154.0,5291.0,1.37085,25.91,25.84,26.01,25.75,9820,0.012,0.011966666666666667,0.012066666666666667,0.0119,0.26000000000000156
2021-04-18,285933.6,125.46857142857144,57.95,20.0,129.4757142857143,57.95,20.0,35.77280802,5633.0,5974.0,1.38335,27.47,27.58,27.62,27.32,41790,0.012566666666666667,0.0126,0.012666666666666666,0.012466666666666668,0.3000000000000007
